system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
00000000000000000050,1049184000000,1059634800000,TER7,200,RWY,517906800000,NR,517042800000,IFR,TER7_1986_83,1986,Origin:NR,AP Approximate (to 500m),108,46001119,0,0,1114671600000,0.2391797682760821,0.35123221910219915,0.32677681843290496,0.42880868161933405,0.3840305496346258,0.4364119015796073,0.385049665453035,0.5262819919086716,0.34383290646811643,0.4201381206549474,83,0.506922839176108,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,1049184000000,1059634800000,RED7,61200,UNK,521881200000,NR,517042800000,IFR,RED7_1986_119,1986,Origin:NR,AP Approximate (to 500m),154,46001115,0,0,1114671600000,0.26829835219744735,0.45230959365336953,0.3280657742741318,0.3815558354050261,0.3813356345347812,0.38840666943315705,0.4351164564525751,0.40296220967004015,0.446830974174216,0.48708631437281497,119,0.46830922949373927,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,1049184000000,1059634800000,GER14,715,LTG,524732400000,NR,519634800000,IFR,GER14_1986_340,1986,Origin:NR,AP Approximate (to 500m),410,46001103,0,0,1114671600000,0.38403171599392655,0.3561209426192741,0.40687306215963465,0.4724421529965767,0.3053739706292866,0.33058987520251626,0.27334869400590484,0.23329780021751048,0.3625050598098834,0.29838750865349917,340,0.40964181189662746,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,1049184000000,1059634800000,RED5,32100,LTG,520239600000,NR,516956400000,IFR,RED5_1986_368,1986,Origin:NR,AP Approximate (to 500m),439,46001114,0,0,1114671600000,0.331663967603301,0.4379650415907287,0.37904784620039844,0.47097786820940324,0.42436600820961085,0.4831533192820884,0.4319142501055389,0.4198880167787419,0.444845115887663,0.4683329901840831,368,0.5088622575041541,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119,1049184000000,1059634800000,GER29,685,LTG,528966000000,NR,523609200000,IFR,GER29_1986_385,1986,Origin:NR,AP Approximate (to 500m),456,46001104,0,0,1114671600000,0.41184015094435056,0.4363684520590835,0.38741888246003375,0.4515856454545947,0.44145113947653875,0.46690455852476365,0.4245605696028769,0.44680304713689667,0.46161485162393584,0.4433713306167352,385,0.48752147981073163,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000182,1049184000000,1059634800000,GER13,270,IDO,521276400000,NR,519634800000,IFR,GER13_1986_576,1986,Origin:NR,AP Approximate (to 500m),673,46001102,0,0,1114671600000,0.431714202676855,0.3534960094837522,0.4443624033184839,0.3685184423011515,0.30870888821820824,0.38344240866804535,0.3536149462262459,0.391112190181934,0.3689382504272433,0.3768665625904786,576,0.5527000004654923,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020b,1049184000000,1059634800000,GER12,587,LTG,524732400000,NR,519462000000,IFR,GER12_1986_801,1986,Origin:NR,AP Approximate (to 500m),925,46001101,0,0,1114671600000,0.3189812446588454,0.267742992770461,0.4176517404848311,0.47264559117506066,0.3641975160003925,0.26024135125001674,0.23753517884442799,0.3272257075343311,0.14440965571442627,0.47339799373438,801,0.39244374311992164,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000256,1049184000000,1059634800000,RED24,313,LTG,520326000000,NR,518252400000,IFR,RED24_1986_950,1986,Origin:NR,AP Approximate (to 500m),1084,46001113,0,0,1114671600000,0.563965742367057,0.5305963886614177,0.5357808917211145,0.5650705187765709,0.5460206039215536,0.5803025007929147,0.5128510202081237,0.5488902427749859,0.5328078689612161,0.5158592088324319,950,0.5182511947214622,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000299,1049184000000,1059634800000,RED14,29458,UNK,521794800000,NR,517388400000,IFR,RED14_1986_1055,1986,Origin:NR,AP Approximate (to 500m),1200,46001112,0,0,1114671600000,0.3084101113573305,0.4187563677002982,0.3477613407554742,0.40973067259093715,0.37592826287957015,0.4445144883300475,0.445476399721586,0.3858193322927845,0.4562647343274578,0.4291125420948325,1055,0.4832666621698949,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d4,1049184000000,1059634800000,SIO91,230,LTG,526374000000,NR,524905200000,IFR,SIO91_1986_1158,1986,Origin:NR,AP Approximate (to 500m),1314,46001118,0,0,1114671600000,0.4594086385758398,0.5317587406723675,0.4742734437747945,0.5020480067210643,0.46572644952721554,0.5473558166035549,0.512848880014219,0.4720369020742638,0.4847664302732698,0.5048041904450188,1158,0.5046366159295617,"{""type"":""MultiPoint"",""coordinates"":[]}"
