system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,old_f_id,.geo
00000000000000000050,1049184000000,1059634800000,TER7,200,RWY,517906800000,NR,517042800000,IFR,TER7_1986_83,1986,Origin:NR,AP Approximate (to 500m),108,46001119,0,0,1114671600000,0.2391797682760821,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,1049184000000,1059634800000,RED7,61200,UNK,521881200000,NR,517042800000,IFR,RED7_1986_119,1986,Origin:NR,AP Approximate (to 500m),154,46001115,0,0,1114671600000,0.26829835219744735,119,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,1049184000000,1059634800000,GER14,715,LTG,524732400000,NR,519634800000,IFR,GER14_1986_340,1986,Origin:NR,AP Approximate (to 500m),410,46001103,0,0,1114671600000,0.38403171599392655,340,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,1049184000000,1059634800000,RED5,32100,LTG,520239600000,NR,516956400000,IFR,RED5_1986_368,1986,Origin:NR,AP Approximate (to 500m),439,46001114,0,0,1114671600000,0.331663967603301,368,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119,1049184000000,1059634800000,GER29,685,LTG,528966000000,NR,523609200000,IFR,GER29_1986_385,1986,Origin:NR,AP Approximate (to 500m),456,46001104,0,0,1114671600000,0.41184015094435056,385,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000182,1049184000000,1059634800000,GER13,270,IDO,521276400000,NR,519634800000,IFR,GER13_1986_576,1986,Origin:NR,AP Approximate (to 500m),673,46001102,0,0,1114671600000,0.431714202676855,576,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020b,1049184000000,1059634800000,GER12,587,LTG,524732400000,NR,519462000000,IFR,GER12_1986_801,1986,Origin:NR,AP Approximate (to 500m),925,46001101,0,0,1114671600000,0.3189812446588454,801,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000256,1049184000000,1059634800000,RED24,313,LTG,520326000000,NR,518252400000,IFR,RED24_1986_950,1986,Origin:NR,AP Approximate (to 500m),1084,46001113,0,0,1114671600000,0.563965742367057,950,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000299,1049184000000,1059634800000,RED14,29458,UNK,521794800000,NR,517388400000,IFR,RED14_1986_1055,1986,Origin:NR,AP Approximate (to 500m),1200,46001112,0,0,1114671600000,0.3084101113573305,1055,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d4,1049184000000,1059634800000,SIO91,230,LTG,526374000000,NR,524905200000,IFR,SIO91_1986_1158,1986,Origin:NR,AP Approximate (to 500m),1314,46001118,0,0,1114671600000,0.4603715859519589,1158,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dd,1049184000000,1059634800000,SIO45,1290,LTG,524991600000,NR,519807600000,IFR,SIO45_1986_1175,1986,Origin:NR,AP Approximate (to 500m),1333,46001117,0,0,1114671600000,0.2774363915942642,1175,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e3,1049184000000,1059634800000,SIO42,2447,LTG,523954800000,NR,519807600000,IFR,SIO42_1986_1188,1986,Origin:NR,AP Approximate (to 500m),1346,46001116,0,0,1114671600000,0.3681275956573897,1188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000031f,1049184000000,1059634800000,RED11,6600,UNK,520326000000,NR,517129200000,IFR,RED11_1986_1291,1986,Origin:NR,AP Approximate (to 500m),1457,46001111,0,0,1114671600000,0.4526637465982527,1291,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033c,1049184000000,1059634800000,COC11,915,RWY,518857200000,NR,517302000000,IFR,COC11_1986_1332,1986,Origin:NR,AP Approximate (to 500m),1504,46001099,0,0,1114671600000,0.32544869727230596,1332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000341,1049184000000,1059634800000,KAP10,254,IDF,519980400000,NR,517215600000,IFR,KAP10_1986_1340,1986,Origin:NR,AP Approximate (to 500m),1513,46001106,0,0,1114671600000,0.5602955352903704,1340,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000389,1049184000000,1059634800000,GER11,625,LTG,524732400000,NR,519462000000,IFR,GER11_1986_1463,1986,Origin:NR,AP Approximate (to 500m),1653,46001100,0,0,1114671600000,0.3474348570634209,1463,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,1049184000000,1059634800000,GER31,215,LTG,553158000000,NR,551430000000,IFR,GER31_1987_120,1987,Origin:NR,AP Approximate (to 500m),155,46001137,0,0,1114671600000,0.30765140729646145,120,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,1049184000000,1059634800000,GER20,200,LTG,553417200000,NR,550652400000,IFR,GER20_1987_131,1987,Origin:NR,AP Approximate (to 500m),169,46001133,0,0,1114671600000,0.4555079981286321,131,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,1049184000000,1059634800000,CHA9,500,RWY,549010800000,NR,547196400000,IFR,CHA9_1987_133,1987,Origin:NR,AP Approximate (to 500m),171,46001123,0,0,1114671600000,0.5660871260114692,133,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,1049184000000,1059634800000,SIO49,6205,LTG,553417200000,NR,550911600000,IFR,SIO49_1987_149,1987,Origin:NR,AP Approximate (to 500m),191,46001152,0,0,1114671600000,0.2179808067719161,149,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7,1049184000000,1059634800000,FOR78,670,RES,562665600000,NR,559292400000,IFR,FOR78_1987_279,1987,Origin:NR,AP Approximate (to 500m),343,46001130,0,0,1114671600000,0.405734328168894,279,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9,1049184000000,1059634800000,FOR13,290,MIS,547714800000,NR,545727600000,IFR,FOR13_1987_316,1987,Origin:NR,AP Approximate (to 500m),382,46001126,0,0,1114671600000,0.594166025640453,316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011d,1049184000000,1059634800000,RED8,1157,LTG,549270000000,NR,547196400000,IFR,RED8_1987_393,1987,Origin:NR,AP Approximate (to 500m),466,46001150,0,0,1114671600000,0.38801407235670116,393,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128,1049184000000,1059634800000,RED46,241,LTG,556441200000,NR,551602800000,IFR,RED46_1987_416,1987,Origin:NR,AP Approximate (to 500m),490,46001148,0,0,1114671600000,0.503874854838258,416,"{""type"":""MultiPoint"",""coordinates"":[]}"
