system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,old_f_id,.geo
000000000000000003a6,1149577200000,1149577200000,FOR14,430,LTG,1129532400000,MNP,1121929200000,IFR,FOR14_2005_1514,2005,,Within 10 metres,1707,67340402,0,0,1152687600000,0.25022551217835404,1514,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a8,1149577200000,1149577200000,FOR24,213,LTG,1128668400000,MNP,1122879600000,IFR,FOR24_2005_1516,2005,,Within 10 metres,1709,67340405,0,0,1152687600000,0.4049814040529762,1516,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac,1149577200000,1150873200000,FOR18,84,LTG,1126076400000,MNP,1122793200000,IFR,FOR18_2005_1520,2005,,Within 10 metres,1714,67340406,0,0,1152687600000,0.48856585794003055,1520,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b0,1149577200000,1150873200000,SUD1,46,MIS,1113894000000,MDP,1113289200000,PB,SUD1_2005_1524,2005,,Within 10 metres,1718,67340410,0,0,1152687600000,0.6195291248725733,1524,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d8,1175497200000,1175497200000,SLK30,550,LTG,1155711600000,MNP,1151391600000,IFR,SLK30_2006_1581,2006,,Within 10 metres,1796,67527650,0,0,1176188400000,0.40557747389866644,1581,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a2,1149577200000,1149577200000,THU31,1428,RWY,1125730800000,FUL,1122102000000,IFR,THU31_2005_1510,2005,,Within 10 metres,1703,67340385,0,0,1152687600000,0.22331421084108996,1510,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a3,1149577200000,1149577200000,HEA63,48,LTG,1125558000000,FUL,1123657200000,IFR,HEA63_2005_1511,2005,,Within 10 metres,1704,67340394,0,0,1152687600000,0.39717106728086077,1511,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a4,1149577200000,1149577200000,TIM19,3200,LTG,1128582000000,FUL,1121238000000,IFR,TIM19_2005_1512,2005,,Within 10 metres,1705,67340398,0,0,1152687600000,0.2953355158915549,1512,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a5,1149577200000,1149577200000,CHA18,60,LTG,1123484400000,FUL,1121583600000,IFR,CHA18_2005_1513,2005,,Within 10 metres,1706,67340401,0,0,1152687600000,0.3550372488841005,1513,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a7,1149577200000,1149577200000,TIM7,449,RES,1120028400000,FUL,1117090800000,IFR,TIM7_2005_1515,2005,,Within 10 metres,1708,67340403,0,0,1152687600000,0.6016747806976633,1515,"{""type"":""MultiPoint"",""coordinates"":[]}"
