id,fire_name,fire_year,area_ha,area_m2
1,RED7_1986_119,1986,1949.3366,19493365.6633
2,TER7_1986_83,1986,167.9762,1679761.9434
3,NIP9_1992_1122,1992,748.1387,7481387.2860
4,THU130_1991_1263,1991,680.7467,6807467.3770
5,CHA8_2012_1924,2012,16.5777,165776.9767
6,RED208_1988_862,1988,58.5811,585811.1445
7,IGN9_1987_492,1987,177.7020,1777019.6941
8,NIP136_1995_1299,1995,1666.5907,16665907.4187
9,SLK60_1996_884,1996,8.0610,80609.9996
10,THU71_1998_684,1998,5961.8861,59618861.0674
11,FOR13_1987_316,1987,13.5078,135077.6973
12,NIP51_1996_620,1996,1404.9404,14049403.7289
13,DRY27_1996_1121,1996,105.8310,1058309.6876
14,RED58_1999_677,1999,3869.7419,38697418.9062
15,NIP230_1998_821,1998,337.8552,3378551.9787
16,THU36_1996_1313,1996,10.0739,100739.4307
17,THU74_1996_1129,1996,67.8875,678874.9181
18,NIP56_1998_832,1998,3.6937,36937.2716
19,NIP44_2000_29,2000,14.4424,144424.1526
20,RED62_2002_93,2002,65.3699,653698.5816
21,COC16_1997_1038,1997,132.2690,1322689.8151
22,NIP20_2005_1521,2005,3543.8011,35438011.2059
23,THU142_2006_1634,2006,7679.3783,76793783.3184
24,THU144_2006_1638,2006,1764.4634,17644633.5150
25,PEM4_1999_1091,1999,463.7176,4637175.6691
26,PEM8_1999_1450,1999,674.5460,6745459.6044
27,THU37_2007_1662,2007,8873.8499,88738498.9606
28,COC23_1995_1273,1995,0.7781,7780.8639
29,RED25_2010_1756,2010,6.7897,67897.2032
30,COC38_1995_629,1995,965.3289,9653288.8439
31,SLK11_2007_1658,2007,884.6147,8846147.0750
32,SAU4_1998_335,1998,1.7402,17401.8307
33,SLK1_2012_1847,2012,0.0004,4.1350
34,RED7_1986_119,1986,10441.6456,104416456.1759
35,TER7_1986_83,1986,91.0572,910571.9080
36,FOR13_1987_316,1987,83.5346,835346.3840
37,IGN9_1987_492,1987,4066.9436,40669436.3754
38,RED208_1988_862,1988,10971.6038,109716037.5831
39,THU130_1991_1263,1991,7.8312,78312.0470
40,NIP9_1992_1122,1992,837.2305,8372305.2812
41,COC23_1995_1273,1995,1763.7178,17637177.5281
42,COC38_1995_629,1995,78.6545,786545.1961
43,NIP136_1995_1299,1995,17755.9032,177559031.6527
44,DRY27_1996_1121,1996,138.5551,1385550.5743
45,NIP51_1996_620,1996,67.7427,677426.7366
46,SLK60_1996_884,1996,3027.8766,30278766.2723
47,THU36_1996_1313,1996,641.3867,6413866.9212
48,THU74_1996_1129,1996,10497.7101,104977101.0129
49,COC16_1997_1038,1997,450.0660,4500659.9418
50,NIP230_1998_821,1998,4.0596,40595.5318
51,NIP56_1998_832,1998,54.9410,549409.9816
52,SAU4_1998_335,1998,11.1675,111674.5166
53,THU71_1998_684,1998,1633.7176,16337176.4307
54,PEM4_1999_1091,1999,941.3839,9413838.9364
55,PEM8_1999_1450,1999,164.3759,1643759.3380
56,RED58_1999_677,1999,714.0662,7140661.9855
57,NIP44_2000_29,2000,644.5345,6445344.8966
58,RED62_2002_93,2002,1677.9712,16779711.7614
59,NIP20_2005_1521,2005,1587.8794,15878794.0577
60,THU142_2006_1634,2006,265.5712,2655711.9311
61,THU144_2006_1638,2006,1139.6447,11396446.7531
62,SLK11_2007_1658,2007,3455.2853,34552852.7103
63,THU37_2007_1662,2007,7404.4855,74044854.9454
64,RED25_2010_1756,2010,3.7185,37184.5884
65,CHA8_2012_1924,2012,66.3945,663945.3346
66,SLK1_2012_1847,2012,1906.0579,19060578.9571
