id,fire_name,defoliated,tsd,cumltve_yrs,prov
1,RED7_1986_119,1,0,1,ON
2,TER7_1986_83,1,0,4,ON
3,NIP9_1992_1122,1,0,6,ON
4,THU130_1991_1263,1,0,6,ON
5,CHA8_2012_1924,1,1,1,ON
6,RED208_1988_862,1,1,1,ON
7,IGN9_1987_492,1,2,1,ON
8,NIP136_1995_1299,1,2,1,ON
9,SLK60_1996_884,1,2,1,ON
10,THU71_1998_684,1,2,3,ON
11,FOR13_1987_316,1,3,1,ON
12,NIP51_1996_620,1,3,2,ON
13,DRY27_1996_1121,1,4,2,ON
14,RED58_1999_677,1,4,7,ON
15,NIP230_1998_821,1,4,9,ON
16,THU36_1996_1313,1,5,1,ON
17,THU74_1996_1129,1,5,1,ON
18,NIP56_1998_832,1,6,1,ON
19,NIP44_2000_29,1,7,1,ON
20,RED62_2002_93,1,9,2,ON
21,COC16_1997_1038,1,9,3,ON
22,NIP20_2005_1521,1,9,3,ON
23,THU142_2006_1634,1,9,6,ON
24,THU144_2006_1638,1,10,5,ON
25,PEM4_1999_1091,1,11,5,ON
26,PEM8_1999_1450,1,11,5,ON
27,THU37_2007_1662,1,13,3,ON
28,COC23_1995_1273,1,14,1,ON
29,RED25_2010_1756,1,14,1,ON
30,COC38_1995_629,1,14,2,ON
31,SLK11_2007_1658,1,14,2,ON
32,SAU4_1998_335,1,15,1,ON
33,SLK1_2012_1847,1,15,1,ON
34,RED7_1986_119,0,NA,NA,ON
35,TER7_1986_83,0,NA,NA,ON
36,FOR13_1987_316,0,NA,NA,ON
37,IGN9_1987_492,0,NA,NA,ON
38,RED208_1988_862,0,NA,NA,ON
39,THU130_1991_1263,0,NA,NA,ON
40,NIP9_1992_1122,0,NA,NA,ON
41,COC23_1995_1273,0,NA,NA,ON
42,COC38_1995_629,0,NA,NA,ON
43,NIP136_1995_1299,0,NA,NA,ON
44,DRY27_1996_1121,0,NA,NA,ON
45,NIP51_1996_620,0,NA,NA,ON
46,SLK60_1996_884,0,NA,NA,ON
47,THU36_1996_1313,0,NA,NA,ON
48,THU74_1996_1129,0,NA,NA,ON
49,COC16_1997_1038,0,NA,NA,ON
50,NIP230_1998_821,0,NA,NA,ON
51,NIP56_1998_832,0,NA,NA,ON
52,SAU4_1998_335,0,NA,NA,ON
53,THU71_1998_684,0,NA,NA,ON
54,PEM4_1999_1091,0,NA,NA,ON
55,PEM8_1999_1450,0,NA,NA,ON
56,RED58_1999_677,0,NA,NA,ON
57,NIP44_2000_29,0,NA,NA,ON
