id,fire_name,fire_year,area_ha,area_m2,prov
1,RED7_1986_119,1986,1949.3366,19493365.6633,ON
2,TER7_1986_83,1986,167.9762,1679761.9434,ON
3,NIP9_1992_1122,1992,748.1387,7481387.286,ON
4,THU130_1991_1263,1991,680.7467,6807467.377,ON
5,CHA8_2012_1924,2012,16.5777,165776.9767,ON
6,RED208_1988_862,1988,58.5811,585811.1445,ON
7,IGN9_1987_492,1987,177.702,1777019.6941,ON
8,NIP136_1995_1299,1995,1666.5907,16665907.4187,ON
9,SLK60_1996_884,1996,8.061,80609.9996,ON
10,THU71_1998_684,1998,5961.8861,59618861.0674,ON
11,FOR13_1987_316,1987,13.5078,135077.6973,ON
12,NIP51_1996_620,1996,1404.9404,14049403.7289,ON
13,DRY27_1996_1121,1996,105.831,1058309.6876,ON
14,RED58_1999_677,1999,3869.7419,38697418.9062,ON
15,NIP230_1998_821,1998,337.8552,3378551.9787,ON
16,THU36_1996_1313,1996,10.0739,100739.4307,ON
17,THU74_1996_1129,1996,67.8875,678874.9181,ON
18,NIP56_1998_832,1998,3.6937,36937.2716,ON
19,NIP44_2000_29,2000,14.4424,144424.1526,ON
20,RED62_2002_93,2002,65.3699,653698.5816,ON
21,COC16_1997_1038,1997,132.269,1322689.8151,ON
22,NIP20_2005_1521,2005,3543.8011,35438011.2059,ON
23,THU142_2006_1634,2006,7679.3783,76793783.3184,ON
24,THU144_2006_1638,2006,1764.4634,17644633.515,ON
25,PEM4_1999_1091,1999,463.7176,4637175.6691,ON
26,PEM8_1999_1450,1999,674.546,6745459.6044,ON
27,THU37_2007_1662,2007,8873.8499,88738498.9606,ON
28,COC23_1995_1273,1995,0.7781,7780.8639,ON
29,RED25_2010_1756,2010,6.7897,67897.2032,ON
30,COC38_1995_629,1995,965.3289,9653288.8439,ON
31,SLK11_2007_1658,2007,884.6147,8846147.075,ON
32,SAU4_1998_335,1998,1.7402,17401.8307,ON
33,SLK1_2012_1847,2012,4e-4,4.135,ON
34,RED7_1986_119,1986,10441.6456,104416456.1759,ON
35,TER7_1986_83,1986,91.0572,910571.908,ON
36,FOR13_1987_316,1987,83.5346,835346.384,ON
37,IGN9_1987_492,1987,4066.9436,40669436.3754,ON
38,RED208_1988_862,1988,10971.6038,109716037.5831,ON
39,THU130_1991_1263,1991,7.8312,78312.047,ON
40,NIP9_1992_1122,1992,837.2305,8372305.2812,ON
41,COC23_1995_1273,1995,1763.7178,17637177.5281,ON
