system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
0000000000000000007a,1049184000000,1059634800000,GER85,366,LTG,653468400000,MON,650790000000,IFR,GER85_1990_135,1990,Origin:NR,AP Approximate (to 500m),174,46001393,0,0,1114671600000,0.2518872457707122,0.37178136362905817,0.3353336527030789,0.31188711090908,0.31079611053060563,0.35855916248939596,0.3688326138162246,0.34360491362761975,0.44377935527370566,0.43933363608217935,135,0.5173712488441939,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9,1049184000000,1059634800000,SIO49,13000,LTG,653900400000,MON,649494000000,IFR,SIO49_1990_255,1990,Origin:NR,AP Approximate (to 500m),312,46001414,0,0,1114671600000,0.4015428791774353,0.4791211250633363,0.4047966995718291,0.3575680001972374,0.3586449362527551,0.3846693530051451,0.4219669455637706,0.406907304653088,0.4704957994162675,0.4564867839747389,255,0.5724751252792399,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a0,1049184000000,1059634800000,GER57,760,LTG,652258800000,MON,649580400000,IFR,GER57_1990_631,1990,Origin:NR,AP Approximate (to 500m),731,46001389,0,0,1114671600000,0.3788803383561009,0.4529854993099764,0.41432847994182964,0.3739371682988991,0.40026914686653237,0.45011505628541537,0.4321595998136957,0.45983199670246616,0.47658002072263966,0.4735522413234382,631,0.5010391071597629,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a1,1049184000000,1059634800000,RED21,875,LTG,651654000000,MON,648716400000,IFR,RED21_1990_632,1990,Origin:NR,AP Approximate (to 500m),732,46001407,0,0,1114671600000,0.2599866475651543,0.4564336048370865,0.31379352284634565,0.32076677697455874,0.3496231913490019,0.36698439375375613,0.3369447463383686,0.3879677455296037,0.4294979399710444,0.427442516452563,632,0.5556332555870116,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001aa,1049184000000,1059634800000,RED13,540,LTG,655542000000,MON,646297200000,IFR,RED13_1990_645,1990,Origin:NR,AP Approximate (to 500m),745,46001402,0,0,1114671600000,0.3317523869634928,0.34795626129118434,0.3870070298373451,0.35436164134791237,0.3704740499808302,0.31674536478683035,0.3329363162407917,0.3825609531349156,0.4058049528918326,0.3786502686386741,645,0.2712980850273545,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e4,1049184000000,1059634800000,GER20,435,LTG,653468400000,MON,647334000000,IFR,GER20_1990_740,1990,Origin:NR,AP Approximate (to 500m),852,46001374,0,0,1114671600000,0.42948005828971003,0.4985233477767428,0.469409159756079,0.4286259114585898,0.4056804269692446,0.4723207189335888,0.45403392356546934,0.4511010526937359,0.5191056179508635,0.5071180668614136,740,0.5789684502300566,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ea,1049184000000,1059634800000,SIO86,3030,LTG,653900400000,MON,650098800000,IFR,SIO86_1990_750,1990,Origin:NR,AP Approximate (to 500m),865,46001417,0,0,1114671600000,0.31068995213286976,0.28003513912717537,0.3280894448213654,0.3564719588642463,0.340316002762375,0.38639790008578506,0.3510389656844635,0.43264810756068883,0.4741167794298327,0.3014294120787977,750,0.5458485539098676,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000204,1049184000000,1059634800000,GER60,250,LTG,650876400000,MON,649148400000,IFR,GER60_1990_792,1990,Origin:NR,AP Approximate (to 500m),913,46001390,0,0,1114671600000,0.3036801656837335,0.3980107079116083,0.4104017871027532,0.41920766222570993,0.3752338274288655,0.4163303771457692,0.42408265015540436,0.387483448013222,0.42350093000271627,0.4226201970281872,792,0.40313894043995485,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000207,1049184000000,1059634800000,RED16,640,LTG,655542000000,MON,648025200000,IFR,RED16_1990_796,1990,Origin:NR,AP Approximate (to 500m),919,46001405,0,0,1114671600000,0.4372871756956364,0.45529017126070614,0.40496943424477244,0.34902454189243187,0.3945130687856684,0.3853679318218605,0.3708964832986383,0.43430535493497163,0.46728450004592953,0.5014024594904932,796,0.6235679941268338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022f,1049184000000,1059634800000,RED15,332,LTG,651049200000,MON,647420400000,IFR,RED15_1990_867,1990,Origin:NR,AP Approximate (to 500m),994,46001404,0,0,1114671600000,0.2599307372034595,0.40028526136652104,0.29146616784883717,0.32408839839974807,0.2978939236477826,0.3329650700545193,0.2859164957555719,0.35349540746453195,0.38744543573120593,0.3719593394250262,867,0.5102109211699558,"{""type"":""MultiPoint"",""coordinates"":[]}"
