system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
000000000000000003c3,1175497200000,1175497200000,SAU78,52,LTG,1162540800000,FUL,1158476400000,IFR,SAU78_2006_1560,2006,,Within 10 metres,1760,67527723,0,0,1176188400000,0.6949707268967908,0.6632660376224015,0.5927440601452639,0.6943783918274866,0.7018012263850205,0.6970693030611073,0.6389057863406037,0.6230262847584168,0.6098124577996993,1560,0.7261755199428115,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ec,1175497200000,1175497200000,NIP440,49,LTG,1160636400000,MON,1158217200000,IFR,NIP440_2006_1601,2006,,Within 10 metres,1827,67527691,0,0,1176188400000,0.5128921607711774,0.27815895411660874,0.4475755595307062,0.42943395285494457,0.47206513729277455,,0.35995502328275125,0.5732054733013123,0.49927170177347513,1601,0.3931878752428047,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e8,1175497200000,1175497200000,THU246,136,LTG,1160722800000,MON,1158130800000,IFR,THU246_2006_1597,2006,,Within 100 metres,1821,67527620,0,0,1176188400000,0.5748970039163533,0.5464175988463762,0.5556538896352298,0.5767820087687119,0.6105142764206706,0.5679264361781587,0.5013312771902457,0.592382952093699,0.5912102162533782,1597,0.5999892897564953,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003cd,1175497200000,1175497200000,NIP409,841,LTG,1162454400000,MON,1158044400000,IFR,NIP409_2006_1570,2006,,Within 10 metres,1785,67527702,0,0,1176188400000,0.4941040762555104,0.37553352380088195,0.32882771614988293,0.3773383430316189,0.4069527232253708,0.4707655069948875,0.38525629089879265,0.5122879078246956,0.43422080512918165,1570,0.38335756796516135,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000040e,1175497200000,1175497200000,THU234,117,LTG,1160722800000,MON,1158044400000,IFR,THU234_2006_1635,2006,,Within 10 metres,1861,67527665,0,0,1176188400000,0.6347675046341621,0.5340907506416698,0.5853202734428373,0.5296171747406001,0.6162974721308812,0.5961933772613901,0.5366750307576538,0.582253966167208,0.5880776370266516,1635,0.548919105892121,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003cc,1175497200000,1175497200000,NIP406,464,LTG,1161846000000,FUL,1157958000000,IFR,NIP406_2006_1569,2006,,Within 10 metres,1784,67527701,0,0,1176188400000,0.554627096580236,0.4702833368511661,0.44676718414404776,0.48894701846197475,0.506894264944189,0.5670645607534389,0.4369429839834469,0.5694702919688533,0.4982655288638759,1569,0.42870400349309096,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000402,1175497200000,1175497200000,FOR179,100,LTG,1161846000000,MON,1157958000000,IFR,FOR179_2006_1623,2006,,Within 10 metres,1849,67527721,0,0,1176188400000,0.6160885380289473,0.5415208926199901,0.5455591808590385,0.5352372627667173,0.6177639903559342,0.5967721521865671,0.6028651685453121,0.6034491516485981,0.6397666330864331,1623,0.6023609731022528,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000410,1175497200000,1175497200000,NIP430,71,LTG,1161673200000,MON,1157958000000,IFR,NIP430_2006_1637,2006,,Within 10 metres,1863,67527667,0,0,1176188400000,0.613842825543551,0.3470497739927929,0.44979474561940463,0.38743856266429766,0.40473715255069853,0.48072028285042456,0.4288508154551431,0.4527306057997356,0.5493481195297137,1637,0.5535601623663756,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003fd,1175497200000,1175497200000,FOR173,197,LTG,1161846000000,MON,1157958000000,IFR,FOR173_2006_1618,2006,,Within 10 metres,1844,67527716,0,0,1176188400000,0.5836492277463643,0.4703066467885682,0.4819270249083753,0.4933094804576933,0.5768267097794362,0.554051482642197,0.5274428225254516,0.5687008707165188,0.5975410008091837,1618,0.5955264654358232,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d2,1175497200000,1175497200000,NIP391,595,LTG,1161846000000,FUL,1157958000000,IFR,NIP391_2006_1575,2006,,Within 10 metres,1790,67527707,0,0,1176188400000,0.4674839140398255,0.4406274129595076,0.5107400266390456,0.5046514327246137,0.48237362101949854,0.6112657208912324,0.48207799734186607,0.5946576448728086,0.5105083904396627,1575,0.5515324804620435,"{""type"":""MultiPoint"",""coordinates"":[]}"
