system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
000000000000000003f1,1175497200000,1175497200000,COC14,41,RWY,1148367600000,FUL,1147158000000,IFR,COC14_2006_1606,2006,,Within 10 metres,1832,67527695,0,0,1176188400000,0.5582157053794319,0.6615938367017604,0.5989986916109622,0.6590504697166518,0.6274361291404648,0.6221784669381598,0.562984965143965,0.6566014022499584,0.6174397660020171,1606,0.6315667213397288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000041c,1175497200000,1175497200000,COC8,130,RWY,1149404400000,FUL,1147158000000,IFR,COC8_2006_1649,2006,,Within 10 metres,1875,67527680,0,0,1176188400000,0.6844891851703224,0.6817405248954637,0.5665644125246363,0.6441084151602021,0.6035940202617242,0.6125466368340462,0.5804556413190005,0.6247898053506163,0.5928165718398045,1649,0.6287217623426319,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000421,1175497200000,1175497200000,COC9,97,RWY,1149318000000,FUL,1147158000000,IFR,COC9_2006_1654,2006,,Within 10 metres,1880,67527685,0,0,1176188400000,0.6736362106774457,0.7322454027532832,0.5875908770095962,0.6332157805563052,0.6192358693937187,0.6096561308457067,0.5497294981381006,0.639215006124868,0.5996207746161718,1654,0.6338972841965745,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c4,1175497200000,1175497200000,SUD8,86,RES,1148367600000,FUL,1147158000000,IFR,SUD8_2006_1561,2006,,Within 10 metres,1761,67527724,0,0,1176188400000,0.5933399035368894,0.5793759996363991,0.5396212153634086,0.6384633900931996,0.6134039455466038,0.6055348742847537,0.6082012119191608,0.6582749483755871,0.6305860533610114,1561,0.5631326647189394,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d9,1175497200000,1175497200000,NIP20,800,RES,1151046000000,FUL,1149750000000,IFR,NIP20_2006_1582,2006,,Within 10 metres,1797,67527651,0,0,1176188400000,0.46943984866174326,0.277692804276083,0.37575135699940526,0.3369509842023472,0.37824340437334,0.44661949259760375,0.2658355562148509,0.4333485231360623,0.4218082056287311,1582,0.44945365856279906,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e5,1175497200000,1175497200000,RED14,100,LTG,1151132400000,FUL,1150268400000,IFR,RED14_2006_1594,2006,,Within 100 metres,1818,67527617,0,0,1176188400000,0.3980234224148992,0.2290443115132331,0.25648596416266156,0.35770109072128986,0.3184218508755796,0.3124059863093945,0.3163444581444432,0.3169022469930606,0.343736124213682,1594,0.48855027562204234,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d3,1175497200000,1175497200000,RED84,8390,LTG,1162281600000,MON,1150441200000,IFR,RED84_2006_1576,2006,,Within 10 metres,1791,67527646,0,0,1176188400000,0.4677088951839172,0.38803123374084364,0.3536395063112772,0.4459466251162565,0.429776983408884,0.4441838337888346,0.4161104832867858,0.4296264303033005,0.46447472052821903,1576,0.49296212390550087,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043a,1175497200000,1175497200000,RED16,794,LTG,1162281600000,MON,1150441200000,IFR,RED16_2006_1679,2006,,Within 10 metres,1908,67527633,0,0,1176188400000,0.4848032244955641,0.2617722332337982,0.22638469192736688,0.4096250049957537,0.3646886076706168,0.39578881863626053,0.35051832358634033,0.46453788762145165,0.4688791427240525,1679,0.439180098487008,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e6,1175497200000,1175497200000,RED15,64,LTG,1151046000000,FUL,1150527600000,IFR,RED15_2006_1595,2006,,Within 100 metres,1819,67527618,0,0,1176188400000,0.43426958899757967,0.3978985704721717,0.4883886738723346,0.4700410455171528,0.43083726021204805,0.45274405280451074,0.4223491595016201,0.47640246840085243,0.44517598016209403,1595,0.5386137686436929,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d8,1175497200000,1175497200000,SLK30,550,LTG,1155711600000,MNP,1151391600000,IFR,SLK30_2006_1581,2006,,Within 10 metres,1796,67527650,0,0,1176188400000,0.4662916568676982,0.43354047114082744,0.4273440519862983,0.46435049096847736,0.4407195546846997,0.4550759723772198,0.45058516036722784,0.4588443865907063,0.45141893421698587,1581,0.5853410483846795,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d5,1175497200000,1175497200000,RED31,537,LTG,1160031600000,MON,1151996400000,IFR,RED31_2006_1578,2006,,Within 10 metres,1793,67527648,0,0,1176188400000,0.4299059232191995,0.3514718092625102,0.2866264401243993,0.3736689085759089,0.36831571812330816,0.3761413107987436,0.36005193705578215,0.3564869263581826,0.38767461335796766,1578,0.46018130219945463,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000440,1175497200000,1175497200000,RED34,91,LTG,1153119600000,FUL,1152082800000,IFR,RED34_2006_1685,2006,,Within 10 metres,1914,67527655,0,0,1176188400000,0.3311707355011662,0.3214755917614395,0.32245239838766593,0.41378742869788776,0.41209003502553176,0.36948729678556647,0.35492946461928393,0.41395013415926823,0.38598421398736327,1685,0.5388546025131568,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003fc,1175497200000,1175497200000,FOR52,91,LTG,1157266800000,MON,1152169200000,IFR,FOR52_2006_1617,2006,,Within 10 metres,1843,67527715,0,0,1176188400000,0.5883070538511312,0.5645105800662643,0.5529164434414023,0.5554730010541657,0.6400831456773184,0.6138517447397009,0.5453123630458908,0.632038378872217,0.6100576088570644,1617,0.653516823629589,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ea,1175497200000,1175497200000,SLK45,93,LTG,1155711600000,MOD,1152342000000,IFR,SLK45_2006_1599,2006,,Within 10 metres,1825,67527624,0,0,1176188400000,0.5317193326764962,0.5245672522357211,0.3981986144219079,0.4956299707210693,0.5186501845780142,0.5215841167352645,0.4436172007801433,0.497655475500942,0.47696416869282343,1599,0.5298899569455462,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043e,1175497200000,1175497200000,RED44,4995,LTG,1158908400000,FUL,1152514800000,IFR,RED44_2006_1683,2006,,Within 10 metres,1912,67527653,0,0,1176188400000,0.2934827958848532,0.2381319486375653,0.2991651891614672,0.3239074962306027,0.35781184964664103,0.3600173865647419,0.3169964210571042,0.3768499204267888,0.3675944959342623,1683,0.4638679141543402,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003fe,1175497200000,1175497200000,FOR54,909,LTG,1161846000000,MON,1152601200000,IFR,FOR54_2006_1619,2006,,Within 10 metres,1845,67527717,0,0,1176188400000,0.5472947648367436,0.45961757441717555,0.4650406062939929,0.47282658474316286,0.5494923464064061,0.5224847938973507,0.5152901537371753,0.5567257605136343,0.5789921590307638,1619,0.6215875089847928,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000400,1175497200000,1175497200000,FOR57,478,LTG,1161846000000,MON,1152601200000,IFR,FOR57_2006_1621,2006,,Within 10 metres,1847,67527719,0,0,1176188400000,0.5834687626715367,0.5096625441614109,0.5199486121084294,0.528264299366329,0.5961420841270504,0.5749876813881875,0.5465198407756086,0.5989100063688549,0.6172647964636264,1621,0.6210560290457334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003eb,1175497200000,1175497200000,RED47,3100,LTG,1155884400000,MON,1152601200000,IFR,RED47_2006_1600,2006,,Within 10 metres,1826,67527625,0,0,1176188400000,0.4111229479278465,0.2825814824945323,0.3162998682034331,0.36285878439646996,0.34468829534031176,0.37707380102559745,0.3510535856149196,0.4415474960763721,0.3917588883962293,1600,0.5355694328793542,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000401,1175497200000,1175497200000,FOR63,264,LTG,1157353200000,MON,1152687600000,IFR,FOR63_2006_1622,2006,,Within 10 metres,1848,67527720,0,0,1176188400000,0.5384929201326332,0.4612865495122331,0.46837060080039,0.473285061266623,0.5428210939165533,0.520372673976727,0.5275966850744911,0.5453110231661972,0.5901202273084075,1622,0.5564354770420084,"{""type"":""MultiPoint"",""coordinates"":[]}"
