system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
00000000000000000108,1049184000000,1059634800000,NIP18,2000,LTG,929170800000,MON,925887600000,IFR,NIP18_1999_357,1999,Origin:GPS,AC Accurate (to 10m),428,46001931,0,0,1114671600000,0.5342565384804259,0.3929757689094945,0.4299128884165398,0.4421547097288897,0.4045384460997408,0.4624874585222112,0.46134617736936023,0.5077750385620183,0.48209283434881417,357,0.5933994736968969,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a,1049184000000,1059634800000,NIP62,900,LTG,931158000000,MON,929257200000,IFR,NIP62_1999_361,1999,Origin:GPS,AC Accurate (to 10m),432,46001939,0,0,1114671600000,0.45952610758836737,0.34331882646429895,0.4094039546803497,0.4005753345095929,0.4587171210579983,0.3965686059459691,0.4529971448891625,0.4492978488280571,0.4951095299465324,361,0.5294450294410542,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012b,1049184000000,1059634800000,NIP43,1200,LTG,931158000000,MON,929257200000,IFR,NIP43_1999_421,1999,Origin:GPS,AC Accurate (to 10m),497,46001935,0,0,1114671600000,0.43236565728034065,0.3789640557855109,0.45568782906067284,0.4248297732832257,0.42664815237391307,0.43262075633518193,0.4340800944681527,0.4289342891580482,0.5089420521416592,421,0.5491410610276717,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015b,1049184000000,1059634800000,NIP99,80,LTG,936860400000,MON,935650800000,IFR,NIP99_1999_508,1999,Origin:GPS,AC Accurate (to 10m),596,46001941,0,0,1114671600000,0.542207192208043,0.4171530136736314,0.43142781296671456,0.4278233169816791,0.34729332817950176,0.4739436930172121,0.45301485869906705,0.5143719059526178,0.45761596372263497,508,0.48173260842113497,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000178,1049184000000,1059634800000,SLK73,150,LTG,936946800000,MON,935132400000,IFR,SLK73_1999_556,1999,Origin:GPS,AC Accurate (to 10m),651,46001966,0,0,1114671600000,0.39549146831933335,0.2681549217557649,0.2608126445509237,0.3151111427968742,0.3029306134092333,0.36970394183427874,0.3932113304151559,0.3755586971206744,0.4298788575689457,556,0.47957079727032703,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b4,1049184000000,1059634800000,NIP52,220,LTG,931849200000,MON,929430000000,IFR,NIP52_1999_664,1999,Origin:GPS,AC Accurate (to 10m),765,46001936,0,0,1114671600000,0.5635662814099804,0.49048455359413107,0.5127262219778927,0.4699296155288467,0.44423498118612514,0.5034129470995948,0.5264192955404355,0.5653006626369752,0.5671670848512463,664,0.5599979382228754,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c4,1049184000000,1059634800000,NIP61,160,LTG,931158000000,MON,929257200000,IFR,NIP61_1999_689,1999,Origin:GPS,AC Accurate (to 10m),797,46001938,0,0,1114671600000,0.46998239098102335,0.3900589302002692,0.4402354846646951,0.4336942231409266,0.45124362902774245,0.4395494325240406,0.47647514914532835,0.4692375554159674,0.5059528430980244,689,0.5457733549503361,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e3,1049184000000,1059634800000,COC17,50,LTG,933058800000,MON,932367600000,IFR,COC17_1999_738,1999,Origin:NTS250,AP Approximate (to 500m),849,46001913,0,0,1114671600000,0.36760539784328355,0.26217839885705324,0.2956991180163416,0.2938439482518354,0.32314788472066247,0.4014717535965827,0.371372742915924,0.33330439524918826,0.38685603771567706,738,0.5676462864765982,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022b,1049184000000,1059634800000,NIP40,340,LTG,931158000000,MON,926924400000,IFR,NIP40_1999_860,1999,Origin:GPS,AC Accurate (to 10m),987,46001934,0,0,1114671600000,0.48811936570780384,0.3868183007884936,0.42588221088142936,0.36200212688657935,0.40236093759788694,0.4097387869219885,0.45069311119424676,0.429687038615489,0.4794502526673921,860,0.48497047640013935,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000240,1049184000000,1059634800000,NIP104,100,LTG,936860400000,MON,935823600000,IFR,NIP104_1999_908,1999,Origin:GPS,AC Accurate (to 10m),1039,46001928,0,0,1114671600000,0.39460908634020986,0.27654620391163026,0.36126664112088136,0.3088312197171586,0.3282847009890516,0.37205972935457887,0.3891604910023609,0.4219099356244023,0.46769722614570025,908,0.3938120166261863,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000258,1049184000000,1059634800000,COC22,75,LTG,937551600000,MON,935910000000,OFR,COC22_1999_954,1999,Origin:NTS250,AP Approximate (to 500m),1089,46001976,0,0,1114671600000,0.4421428419784075,0.5060834851411857,0.5151439740717008,0.5255045266317333,0.5092031648849613,0.5364880645929366,0.5281389152059508,0.5207035075310225,0.5659122454776968,954,0.5529813711393781,"{""type"":""MultiPoint"",""coordinates"":[]}"
