system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,old_f_id,.geo
0000000000000000046d,1300431600000,1300431600000,SLK49,200,LTG,1280300400000,MNP,1277449200000,IFR,SLK49_2010_1730,2010,,Within 100 metres,1971,71294512,0,0,1300518000000,0.384798943381591,1730,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c6,1207292400000,1207292400000,NIP58,52,IDF,1186124400000,FUL,1185260400000,IFR,NIP58_2007_1563,2007,,Within 50 metres,1778,67926757,0,0,1207292400000,0.17793025079327993,1563,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c7,1207292400000,1207292400000,NIP40,55,LTG,1183186800000,FUL,1181631600000,IFR,NIP40_2007_1564,2007,,Within 50 metres,1779,67926758,0,0,1207292400000,0.4482997707305475,1564,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c8,1207292400000,1268809200000,DRY8,42,RWY,1178434800000,FUL,1177830000000,IFR,DRY8_2007_1565,2007,,Within 50 metres,1780,67926760,0,0,1268809200000,0.4184403246974946,1565,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c9,1207292400000,1207292400000,KEN41,165,REC,1188457200000,FUL,1186038000000,IFR,KEN41_2007_1566,2007,,Within 50 metres,1781,67926763,0,0,1207292400000,0.4123499552187426,1566,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003db,1207292400000,1207292400000,THU36,44,RWY,1179385200000,FUL,1178607600000,IFR,THU36_2007_1584,2007,,Within 50 metres,1801,67926766,0,0,1207292400000,0.5736647188595755,1584,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003dc,1207292400000,1268809200000,TIM3,58,REC,1181026800000,FUL,1179903600000,IFR,TIM3_2007_1585,2007,,Within 50 metres,1802,67926767,0,0,1268809200000,0.5343664154302838,1585,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003dd,1207292400000,1207292400000,SUD46,525,REC,1181977200000,FUL,1179558000000,IFR,SUD46_2007_1586,2007,,Within 50 metres,1804,67926770,0,0,1207292400000,0.5095044914780087,1586,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003de,1207292400000,1207292400000,SAU13,1555,MIS,1181890800000,FUL,1179039600000,IFR,SAU13_2007_1587,2007,,Within 50 metres,1805,67926771,0,0,1207292400000,0.5488775670888907,1587,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003df,1207292400000,1268809200000,PEM2,250,MIS,1178780400000,FUL,1178607600000,IFR,PEM2_2007_1588,2007,,Within 50 metres,1806,67926772,0,0,1268809200000,0.6663188218747642,1588,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000425,1268722800000,1268722800000,SLK11,16702,RWY,1182754800000,FUL,1178694000000,IFR,SLK11_2007_1658,2007,,Within 10 metres,1885,70037145,0,0,1268722800000,0.4087810508293215,1658,"{""type"":""MultiPoint"",""coordinates"":[]}"
